Atlantic Coast, Year, Round, Rankability, EloCorr
,1995,,,
,,1,0.1250,0.0000
,,2,0.2500,0.6556
,,3,0.3750,0.8071
,,4,0.3750,0.9121
,,5,0.5000,0.9667
,,6,0.5083,0.9667
,,7,0.6210,0.9167
,,8,0.6250,0.9500
,,9,0.6328,0.9333
,,10,0.7500,0.9667
,,11,0.8548,0.9833
,,12,0.8750,1.0000
,,13,0.8750,0.9833
,1996,,,
,,1,0.1250,0.0000
,,2,0.1250,0.5774
,,3,0.2500,0.8692
,,4,0.2500,0.7124
,,5,0.3750,0.7967
,,6,0.5000,0.8667
,,7,0.5000,0.9667
,,8,0.5000,0.9500
,,9,0.6250,0.9333
,,10,0.7500,0.9500
,,11,0.8750,0.9500
,,12,0.8750,0.9500
,,13,0.8750,1.0000
,1997,,,
,,1,0.1250,0.0000
,,2,0.1250,0.1437
,,3,0.2500,0.7376
,,4,0.2500,0.8452
,,5,0.2500,0.7167
,,6,0.3750,1.0000
,,7,0.5000,0.8833
,,8,0.6250,0.9667
,,9,0.7500,0.9667
,,10,0.8750,0.9833
,,11,0.8750,0.9667
,,12,0.8750,1.0000
,1998,,,
,,1,0.1250,0.0000
,,2,0.2500,0.5252
,,3,0.3750,0.8205
,,4,0.3750,0.9748
,,5,0.3750,0.9000
,,6,0.5000,0.9667
,,7,0.5348,0.9000
,,8,0.6598,0.9833
,,9,0.7261,0.9667
,,10,0.8552,0.9833
,,11,0.8750,0.9833
,,12,0.8750,0.9833
,1999,,,
,,1,0.1250,0.0000
,,2,0.1250,0.1437
,,3,0.2500,0.6260
,,4,0.3750,0.6920
,,5,0.5000,0.8787
,,6,0.5000,0.7333
,,7,0.6250,0.9500
,,8,0.7500,0.9333
,,9,0.8750,0.9333
,,10,0.8712,0.9000
,,11,0.8450,0.9667
,,12,0.7791,0.8667
,2000,,,
,,1,0.1250,0.0000
,,2,0.2500,0.6923
,,3,0.2500,0.8026
,,4,0.3750,0.7815
,,5,0.5000,0.9500
,,6,0.6250,1.0000
,,7,0.7500,0.9333
,,8,0.7500,0.9333
,,9,0.8750,0.9667
,,10,0.8720,0.9833
,,11,0.8707,0.9667
,,12,0.8750,1.0000
,2001,,,
,,1,0.1250,0.0000
,,2,0.2500,0.2929
,,3,0.2500,0.7563
,,4,0.3750,0.9833
,,5,0.5000,0.9000
,,6,0.6250,0.9500
,,7,0.6119,0.9500
,,8,0.6254,0.9167
,,9,0.7538,0.8500
,,10,0.8430,0.9333
,,11,0.8313,0.9833
,2002,,,
,,1,0.1250,0.0000
,,2,0.2500,0.6556
,,3,0.3750,0.9956
,,4,0.3750,0.6240
,,5,0.5000,0.5858
,,6,0.5000,0.9500
,,7,0.5000,0.9500
,,8,0.5000,0.9333
,,9,0.6250,0.9167
,,10,0.7500,0.9167
,,11,0.8491,0.9667
,,12,0.8315,0.9833
,,13,0.8346,1.0000
,2003,,,
,,1,0.1250,0.0000
,,2,0.2500,0.8278
,,3,0.3750,0.9956
,,4,0.3750,0.8261
,,5,0.5000,0.8506
,,6,0.5000,0.7950
,,7,0.5000,0.9500
,,8,0.6250,0.8833
,,9,0.7500,0.7333
,,10,0.7500,0.8167
,,11,0.7471,0.8000
,,12,0.8581,0.9167
,,13,0.8376,0.9500
,,14,0.8438,1.0000
Big East, Year, Round, Rankability, EloCorr
,1995,,,
,,1,0.1429,0.0000
,,2,0.1429,0.5569
,,3,0.2857,0.8101
,,4,0.2857,0.7243
,,5,0.2857,0.6667
,,6,0.4286,0.9286
,,7,0.5441,0.9048
,,8,0.7048,0.9762
,,9,0.8380,0.9286
,,10,0.8133,1.0000
,,11,0.8571,0.9762
,1996,,,
,,1,0.1429,0.0000
,,2,0.1429,0.5774
,,3,0.2857,0.9623
,,4,0.2857,0.7623
,,5,0.2857,0.8554
,,6,0.4286,0.9759
,,7,0.4286,0.9701
,,8,0.5714,0.9048
,,9,0.7143,0.9286
,,10,0.7143,0.9762
,,11,0.7143,0.9762
,,12,0.8571,1.0000
,,13,0.8571,0.9286
,1997,,,
,,1,0.1429,0.0000
,,2,0.1429,0.7071
,,3,0.2857,0.5433
,,4,0.4286,0.8144
,,5,0.4286,0.8810
,,6,0.4286,0.8095
,,7,0.5714,0.9524
,,8,0.5714,0.7143
,,9,0.5410,0.9048
,,10,0.5574,0.8095
,,11,0.6824,0.8095
,,12,0.7106,0.7857
,,13,0.6976,0.8571
,,14,0.8149,0.9762
,1998,,,
,,1,0.1429,0.0000
,,2,0.2857,0.7683
,,3,0.2857,0.9758
,,4,0.2857,0.9268
,,5,0.4286,0.8909
,,6,0.4019,0.7904
,,7,0.4013,0.9286
,,8,0.5798,0.8571
,,9,0.5812,0.8095
,,10,0.6153,0.8333
,,11,0.7533,1.0000
,,12,0.8169,0.8810
,1999,,,
,,1,0.1429,0.0000
,,2,0.1429,0.8165
,,3,0.2857,0.4119
,,4,0.2857,0.7665
,,5,0.2977,0.4762
,,6,0.4506,0.7381
,,7,0.5714,0.9286
,,8,0.7143,0.9762
,,9,0.8571,1.0000
,,10,0.8571,0.9286
,,11,0.8571,1.0000
,2000,,,
,,1,0.1429,0.0000
,,2,0.1429,0.7071
,,3,0.1429,0.5433
,,4,0.2857,0.8503
,,5,0.4286,0.9048
,,6,0.5714,0.9048
,,7,0.7143,0.9762
,,8,0.8571,0.9762
,,9,0.8571,0.7857
,,10,0.8463,0.9524
,,11,0.8463,0.9762
,,12,0.8571,0.9286
,2001,,,
,,1,0.1429,0.0000
,,2,0.1429,0.7071
,,3,0.1429,0.9547
,,4,0.2857,0.9756
,,5,0.2857,0.9758
,,6,0.4286,0.8555
,,7,0.4286,0.9524
,,8,0.5714,0.8571
,,9,0.5714,0.9524
,,10,0.7143,0.9762
,,11,0.8571,0.9286
,,12,0.8571,0.9286
,,13,0.8571,0.9762
,2002,,,
,,1,0.1429,0.0000
,,2,0.2857,0.7313
,,3,0.2857,0.9560
,,4,0.2857,0.8345
,,5,0.2857,1.0000
,,6,0.4286,0.9222
,,7,0.5714,0.9286
,,8,0.7143,1.0000
,,9,0.7143,0.9762
,,10,0.7143,0.8810
,,11,0.8571,0.9762
,,12,0.8571,0.9762
,2003,,,
,,1,0.1429,0.0000
,,2,0.2857,0.7313
,,3,0.2857,0.5187
,,4,0.4286,0.7785
,,5,0.4286,0.8571
,,6,0.4393,0.8571
,,7,0.5714,0.9048
,,8,0.6232,0.9048
,,9,0.7525,0.9762
,,10,0.8571,0.9762
,2004,,,
,,1,0.1667,0.0000
,,2,0.1667,0.2041
,,3,0.1667,0.7156
,,4,0.3176,0.1802
,,5,0.4679,0.8214
,,6,0.5000,0.9643
,,7,0.6667,0.9643
,,8,0.6937,0.8214
,,9,0.7132,0.9286
,,10,0.6615,0.6786
,2005,,,
,,1,0.1429,0.0000
,,2,0.1429,0.7071
,,3,0.1429,0.8165
,,4,0.2857,0.6299
,,5,0.4286,0.5714
,,6,0.4286,0.8810
,,7,0.4286,0.9762
,,8,0.5714,0.9048
,,9,0.7143,0.9762
,,10,0.7143,1.0000
,,11,0.8466,0.9048
,,12,0.8375,0.9286
,2006,,,
,,1,0.1429,0.0000
,,2,0.1429,0.7071
,,3,0.2857,0.5433
,,4,0.2857,0.8503
,,5,0.2857,0.7143
,,6,0.4286,1.0000
,,7,0.4286,0.9048
,,8,0.5714,0.9762
,,9,0.6033,0.9048
,,10,0.7202,0.9762
,,11,0.8049,0.9524
,2007,,,
,,1,0.1429,0.0000
,,2,0.1429,0.8165
,,3,0.1429,0.5960
,,4,0.2143,0.4687
,,5,0.3190,0.5212
,,6,0.4286,0.7831
,,7,0.5714,0.7785
,,8,0.5467,0.9048
,,9,0.7104,0.7381
,,10,0.6819,0.8571
,,11,0.6841,0.9286
,2008,,,
,,1,0.1429,0.0000
,,2,0.2857,0.8353
,,3,0.2857,0.9698
,,4,0.2857,0.8571
,,5,0.2977,0.5238
,,6,0.4286,0.6667
,,7,0.4599,0.9524
,,8,0.5714,0.9286
,,9,0.6802,0.9048
,,10,0.8367,0.9048
,,11,0.8049,0.9762
,2009,,,
,,1,0.1429,0.0000
,,2,0.1429,0.5774
,,3,0.2857,0.9564
,,4,0.4286,0.8555
,,5,0.5714,0.9762
,,6,0.5714,0.9762
,,7,0.7143,1.0000
,,8,0.8571,0.8810
,,9,0.8571,0.9048
,,10,0.8571,1.0000
,,11,0.8571,0.9048
,2010,,,
,,1,0.1429,0.0000
,,2,0.1429,0.5466
,,3,0.2857,0.6145
,,4,0.4286,0.7143
,,5,0.4286,0.8333
,,6,0.5388,0.7381
,,7,0.5661,0.7381
,,8,0.5796,0.9048
,,9,0.7082,1.0000
,2011,,,
,,1,0.1429,0.0000
,,2,0.2857,0.7300
,,3,0.2857,0.7902
,,4,0.2857,0.4634
,,5,0.2977,0.6228
,,6,0.4286,0.8333
,,7,0.4560,0.7143
,,8,0.5530,0.5714
,,9,0.6676,0.7381
,,10,0.7143,0.9048
,2012,,,
,,1,0.1429,0.0000
,,2,0.1429,0.7071
,,3,0.2857,0.9370
,,4,0.4286,0.9157
,,5,0.5714,0.9048
,,6,0.5714,0.8571
,,7,0.5714,0.9524
,,8,0.5801,0.9286
,,9,0.7143,0.9762
,,10,0.6931,0.7143
,,11,0.7143,0.9048
Mountain West, Year, Round, Rankability, EloCorr
,1999,,,
,,1,0.1429,0.0000
,,2,0.1429,0.5774
,,3,0.1429,0.7145
,,4,0.1429,0.6545
,,5,0.2857,0.9222
,,6,0.4286,0.8571
,,7,0.5714,0.7857
,,8,0.7143,0.8810
,,9,0.6839,0.9286
,,10,0.7143,0.9048
,,11,0.7078,0.9048
,2000,,,
,,1,0.1429,0.0000
,,2,0.2857,0.1162
,,3,0.2731,0.2807
,,4,0.2731,0.2755
,,5,0.4013,0.4762
,,6,0.4286,0.4762
,,7,0.5714,0.9048
,,8,0.7143,0.7143
,,9,0.6798,0.7619
,,10,0.8396,0.8095
,,11,0.8371,0.8810
,2001,,,
,,1,0.1429,0.0000
,,2,0.1429,-0.1104
,,3,0.1429,0.9576
,,4,0.2857,0.8862
,,5,0.4286,0.9286
,,6,0.5714,0.8810
,,7,0.7143,0.9524
,,8,0.8571,1.0000
,,9,0.8571,0.9524
,,10,0.8571,0.9762
,2002,,,
,,1,0.1429,0.0000
,,2,0.2857,0.8750
,,3,0.4286,0.5183
,,4,0.4286,0.9048
,,5,0.4286,0.8810
,,6,0.5714,0.8810
,,7,0.5714,0.8810
,,8,0.7143,0.9762
,,9,0.8571,0.9048
,,10,0.8200,1.0000
,2003,,,
,,1,0.1429,0.0000
,,2,0.1429,0.7071
,,3,0.2857,0.7300
,,4,0.2857,0.8727
,,5,0.4286,0.7708
,,6,0.4286,0.7785
,,7,0.4566,0.8810
,,8,0.5766,0.8810
,,9,0.5868,0.6190
,,10,0.7236,0.6905
,,11,0.8347,0.8571
,,12,0.7489,0.9762
,2004,,,
,,1,0.1429,0.0000
,,2,0.1429,0.1250
,,3,0.2857,0.6626
,,4,0.2857,0.4970
,,5,0.2857,0.5270
,,6,0.4286,0.8810
,,7,0.5714,0.8810
,,8,0.7143,1.0000
,,9,0.8571,0.9524
,,10,0.8377,1.0000
,2005,,,
,,1,0.1250,0.0000
,,2,0.1250,0.7071
,,3,0.1250,0.4967
,,4,0.2500,0.7298
,,5,0.3750,0.8908
,,6,0.5000,0.7280
,,7,0.5000,0.5000
,,8,0.6250,0.8000
,,9,0.7500,0.9833
,,10,0.8655,0.9500
,,11,0.8509,0.9000
,,12,0.8450,0.9000
,2006,,,
,,1,0.1250,0.0000
,,2,0.2500,0.8278
,,3,0.2500,0.8191
,,4,0.3750,0.7848
,,5,0.4009,0.8536
,,6,0.5000,0.9333
,,7,0.6250,0.9667
,,8,0.7500,0.7333
,,9,0.8698,1.0000
,,10,0.8630,0.9333
,,11,0.8640,0.9667
,2007,,,
,,1,0.1250,0.0000
,,2,0.2500,0.8677
,,3,0.2500,0.7343
,,4,0.2500,0.7866
,,5,0.3750,0.7950
,,6,0.5000,0.7333
,,7,0.6250,0.8833
,,8,0.6250,0.9667
,,9,0.6233,0.9167
,,10,0.6250,1.0000
,,11,0.7500,0.9833
,,12,0.8750,0.9667
,,13,0.8750,1.0000
,2008,,,
,,1,0.1250,0.0000
,,2,0.1250,0.5774
,,3,0.2500,0.8614
,,4,0.2500,0.9232
,,5,0.3750,0.9540
,,6,0.5000,0.9500
,,7,0.6250,0.9833
,,8,0.7500,0.9500
,,9,0.7500,0.9667
,,10,0.8750,0.9333
,,11,0.8750,0.9667
,2009,,,
,,1,0.1250,0.0000
,,2,0.2500,0.6556
,,3,0.2500,0.8105
,,4,0.3750,0.8488
,,5,0.3750,0.9000
,,6,0.5000,0.9833
,,7,0.6250,1.0000
,,8,0.7500,0.9833
,,9,0.8750,0.9667
,,10,1.0000,1.0000
,2010,,,
,,1,0.1250,0.0000
,,2,0.2500,0.9482
,,3,0.2500,0.6252
,,4,0.2500,0.8928
,,5,0.3750,0.8656
,,6,0.3750,0.7167
,,7,0.5000,0.9333
,,8,0.6250,0.9667
,,9,0.7500,1.0000
,,10,0.8750,0.9667
,,11,0.8750,0.9833
,,12,0.8750,0.9333
,2011,,,
,,1,0.1429,0.0000
,,2,0.1429,0.7071
,,3,0.2857,0.9547
,,4,0.2857,0.6854
,,5,0.4286,0.9940
,,6,0.4286,0.8810
,,7,0.5714,0.9524
,,8,0.7143,0.9524
,,9,0.8571,0.8095
,,10,0.8571,0.9286
,,11,0.8571,1.0000
